id,product_title,cluster
117_right,Laptop Dell Inspiron 3501 (N3501B) Core  i5 1135G7  4GB  512GB SSD PCIe  Win 10  Full HD,31
114_right,Laptop HP Pavilion 15 eg0006TX (2D9C9PA)  Core i5  1135G7  8GB  512GB SSD PCIe  MX450 2GB Full HD IPS,31
13_right,Laptop Lenovo IdeaPad Gaming 3 15ARH05 82EY00C3VN R5-4600H  8GB  256GB  VGA GTX 1650 4GB  15.6' FHD  Win 10,32
12_right,Laptop Lenovo IdeaPad 5 14ITL05 82FE00LLVN i5-1135G7  8GB  512GB  Intel Iris Xe Graphics  14' FHD  Win 10,32
16_right,Laptop MSI GF65 Thin 10UE-228VN i7-10750H  16GB  512GB  VGA RTX 3060 6GB  15.6' FHD 144Hz  Win 10,32
15_right,Laptop MSI GF65 Thin 10UE-286VN i5-10500H  16GB  512GB  VGA RTX 3060 6GB  15.6' FHD 144Hz  Win 10,32
10_right,Laptop ASUS X415JA-EK259T i5-1035G1  4GB  512GB  Intel UHD Graphics  14' FHD  Win 10,32
9_right,Laptop ASUS X415MA-BV087T C-N4020  4GB  256GB  Intel UHD Graphics 600  14' HD  Win 10,32
245_right,Laptop Lenovo IdeaPad Gaming 3 15ARH0 (82EY00C3VN)  AMD 5 4600H  8GB  256GB SSD PCIe  GTX1650 4GB  Win 10,32
22_right,Laptop Acer Nitro 5 AN515-45-R0B6 R7-5800H  8GB  512GB  VGA RTX 3060 6GB  15.6' FHD 144Hz  Win 10,32
47_right,Laptop Acer Swift 3X SF314-510G-57MR i5-1135G7  8GB  512GB  Intel Iris Xe Max Graphics  14' FHD  Win 10,32
48_right,Laptop Acer Aspire 7 A715-42G-R4ST R5-5500U  8GB  256GB  VGA GTX 1650 4GB  15.6' FHD  Win 10,32
51_right,Laptop Acer Swift 3 SF313-53-503A i5-1135G7  8GB  512GB  Intel Iris Xe Graphics 13.5' QHD  Win 10,32
53_right,Laptop Acer Swift 3 SF314-59-568P i5-1135G7  8GB  1TB  Intel Iris Xe Graphics  14' FHD  Win 10,32
54_right,Laptop Acer Aspire 7 A715-41G-R150 R7-3750H  8GB  512GB  VGA GTX 1650Ti 4GB  15.6' FHD  Win 10,32
61_right,Laptop Acer Nitro 5 AN515-56-79U2 i7-11370H  8GB  512GB  VGA GTX 1650 4GB  15.6' FHD 144Hz  Win 10,32
67_right,Laptop Acer Predator Helios 300 PH315-53-78TN i7-10750H  16GB  512GB  VGA RTX 3060 6GB  15.6' FHD 300Hz  Win 10,32
87_right,Laptop HP ProBook 455 G7 1A1B1PA R7-4700U  8GB  512GB  AMD Radeon Graphics  15.6' FHD  Win 10,32
89_right,Laptop HP 340s G7 2G5C6PA i7-1065G7  4GB  256GB  Intel UHD Graphics  14'' FHD  Win 10,32
244_right,Laptop Lenovo IdeaPad Gaming 3 15IMH05 (81Y4006SVN)  Core i5 10300H  8GB  512GB SSD PCIe  GTX1650  4GB   Win 10,32
21_right,Laptop Creator ConceptD 3 Ezel CC314-72G-75SM i7-10750H  16GB  1TB  VGA GTX 1650Ti 4GB  14'' FHD IPS Touch  Win 10 Pro,32
136_right,Laptop   7352 Màn c?m ?ng xoay 360,32
79_right,Laptop ASUS ROG Strix SCAR 15 G533QM-HF089T R9-5900HX  16GB  1TB  VGA RTX 3060 6GB  15.6' FHD 300Hz  Win 10,32
94_right,"Laptop HP Pavilion 15 - eg0007TX  2D9D5PA  i7-1165G7 , 8GB, 512GB, VGA MX450 2GB ,15.6' FHD, Win 10 + Office",33
256_right,Laptop Acer Aspire 3 A315-55G-59BC NX.HNSSV.003 (?en),34
135_right,LAPTOP ACER ASPIRE A315 54K 36X5 NX.HEESV.00J,34
95_right,Laptop Acer Aspire 3 A315-54K-37B0 (NX.HEESV.00D),34
159_right,"Laptop Gaming Acer Aspire A715 72G v?i core i5 th? h? 8 ch?y t?t các ?ng d?ng ?? h?a corel, photoshop,...",35
215_right,Laptop ACER Swift 5 SF514-55T-51NZ NX.HX9SV.002 (Gold) i5-1135G7/ 8G/ 512GB/ 14 FHDT/ Win 10 - Hàng chính hãng,36
184_right,Acer Swift 5 SF514-53T-58PN/Core i5-8265U/NX.H7HSV.001 - Xanh,36
